CLOUD ID1	CLOUD ID2	y1	y2	yc	yBliss	yLoewe
CLOUD117	CLOUD102	99.94879672	11.69030422	64.45628481	0.999547825	31.3
CLOUD249	CLOUD083	0	26.61512503	0	0.26615125	98.7
CLOUD169	CLOUD104	52.14382245	98.44403556	100	0.992553749	2.2
CLOUD169	CLOUD102	52.14382245	11.69030422	32.29162016	0.577383552	68.5
CLOUD196	CLOUD059	71.74865513	1.662962311	57.53494533	0.722184644	59.6
CLOUD190	CLOUD113	17.11103228	0.202713617	60.13515499	0.172790595	91.9
CLOUD190	CLOUD114	17.11103228	84.27757776	100	0.869678465	3.5
CLOUD180	CLOUD088	94.77996018	0	99.55612508	0.947799602	98
CLOUD180	CLOUD089	94.77996018	80.21460332	100	0.989671944	22.5
CLOUD207	CLOUD088	0	0	0	0	98
CLOUD129	CLOUD102	100	11.69030422	100	1	66.1
CLOUD114	CLOUD193	84.27757776	96.73717693	100	0.994870052	3.3
CLOUD184	CLOUD196	0	71.74865513	47.25429705	0.717486551	59.6
CLOUD184	CLOUD199	0	100	100	1	89.9
CLOUD102	CLOUD164	11.69030422	36.73976992	64.57339754	0.441350833	68.6
CLOUD102	CLOUD166	11.69030422	39.13122131	22.58550842	0.462469667	69
CLOUD089	CLOUD199	80.21460332	100	100	1	22.3
CLOUD053	CLOUD232	99.99187369	50.0790699	89.81435379	0.999959433	1.9
CLOUD222	CLOUD249	0	0	0	0	92.7
CLOUD196	CLOUD232	71.74865513	50.0790699	87.21743919	0.858966659	59.6
CLOUD025	CLOUD128	2.150875492	10.62896364	3.795325122	0.125512234	93.5
CLOUD025	CLOUD122	2.150875492	58.96658998	70.35880416	0.598491675	97
CLOUD232	CLOUD115	50.0790699	99.78243983	99.00782555	0.998913919	93.9
CLOUD071	CLOUD264	11.44575694	36.36300704	100	0.436467426	99.4
CLOUD129	CLOUD193	100	96.73717693	100	1	92.3
CLOUD213	CLOUD117	45.94459407	99.94879672	99.35313531	0.999723219	2.9
CLOUD203	CLOUD188	24.35133625	1.596485175	0	0.25559056	98.6
CLOUD031	CLOUD234	36.39400064	26.35059193	16.7546229	0.53154558	97.9
CLOUD264	CLOUD143	36.36300704	89.25430294	86.05744687	0.931617615	56.9
CLOUD053	CLOUD179	99.99187369	98.65510327	100	0.999998907	1.9
CLOUD088	CLOUD049	0	0.017271008	1.822527637	0.00017271	98
CLOUD129	CLOUD190	100	17.11103228	100	1	96.1
CLOUD129	CLOUD199	100	100	100	1	95.7
CLOUD031	CLOUD173	36.39400064	26.96680805	74.76163504	0.535465084	97.2
CLOUD031	CLOUD179	36.39400064	98.65510327	100	0.99144565	98.4
CLOUD059	CLOUD213	1.662962311	45.94459407	69.98638715	0.468435151	99.5
CLOUD243	CLOUD222	84.97484141	0	100	0.849748414	91.1
CLOUD179	CLOUD089	98.65510327	80.21460332	100	0.997339068	22.4
CLOUD115	CLOUD129	99.78243983	100	100	1	91.2
CLOUD115	CLOUD128	99.78243983	10.62896364	91.47472483	0.998055642	84.5
CLOUD115	CLOUD122	99.78243983	58.96658998	68.41124812	0.999107276	95.2
CLOUD256	CLOUD213	0	45.94459407	42.3138949	0.459445941	99.8
CLOUD059	CLOUD053	1.662962311	99.99187369	100	0.999920088	1.9
CLOUD207	CLOUD243	0	84.97484141	31.75010697	0.849748414	98.3
CLOUD113	CLOUD103	0.202713617	85.39038766	100	0.854200033	66.1
CLOUD113	CLOUD102	0.202713617	11.69030422	0	0.1186932	57.9
CLOUD199	CLOUD259	100	96.22080761	98.51661675	1	96.4
CLOUD234	CLOUD104	26.35059193	98.44403556	100	0.988540414	1.8
CLOUD166	CLOUD209	39.13122131	99.87921859	100	0.999264818	2.4
CLOUD166	CLOUD207	39.13122131	0	0	0.391312213	98.1
CLOUD243	CLOUD057	84.97484141	100	100	1	4.9
CLOUD143	CLOUD229	89.25430294	0.294050343	0	0.892859007	4.7
CLOUD193	CLOUD169	96.73717693	52.14382245	100	0.984385376	96.6
CLOUD193	CLOUD165	96.73717693	100	92.69391394	1	40.6
CLOUD193	CLOUD164	96.73717693	36.73976992	100	0.979359306	94
CLOUD112	CLOUD184	96.94297546	0	100	0.969429755	87.1
CLOUD112	CLOUD188	96.94297546	1.596485175	98.6712745	0.969917804	98.9
CLOUD024	CLOUD243	98.72289447	84.97484141	100	0.998081129	1
CLOUD089	CLOUD112	80.21460332	96.94297546	92.44210523	0.993951556	20.8
CLOUD143	CLOUD249	89.25430294	0	0	0.892543029	56
CLOUD196	CLOUD102	71.74865513	11.69030422	23.05424809	0.750513233	59.5
CLOUD117	CLOUD114	99.94879672	84.27757776	100	0.999919496	2.7
CLOUD117	CLOUD115	99.94879672	99.78243983	100	0.999998886	2.5
CLOUD089	CLOUD256	80.21460332	0	55.94625212	0.802146033	21.8
CLOUD089	CLOUD259	80.21460332	96.22080761	100	0.992522718	22
CLOUD199	CLOUD196	100	71.74865513	86.37046069	1	59.6
CLOUD232	CLOUD250	50.0790699	2.964857381	0	0.515591543	94.9
CLOUD229	CLOUD103	0.294050343	85.39038766	100	0.854333473	91.1
CLOUD129	CLOUD117	100	99.94879672	100	1	2.8
CLOUD129	CLOUD114	100	84.27757776	93.0236623	1	3.5
CLOUD129	CLOUD113	100	0.202713617	97.96014836	1	86.9
CLOUD250	CLOUD053	2.964857381	99.99187369	100	0.999921146	1.9
CLOUD250	CLOUD059	2.964857381	1.662962311	0	0.045785152	99.4
CLOUD164	CLOUD173	36.73976992	26.96680805	68.73560041	0.537990347	97.2
CLOUD164	CLOUD171	36.73976992	0.32239215	68.03393262	0.369437159	97.7
CLOUD215	CLOUD103	17.3356167	85.39038766	35.86973219	0.879230541	90.6
CLOUD215	CLOUD104	17.3356167	98.44403556	95.01065089	0.987137716	1.8
CLOUD025	CLOUD049	2.150875492	0.017271008	0	0.02167775	99.1
CLOUD083	CLOUD128	26.61512503	10.62896364	12.03658342	0.344151767	92.9
CLOUD120	CLOUD209	35.48998063	99.87921859	100	0.999220839	2.4
CLOUD234	CLOUD173	26.35059193	26.96680805	53.96274946	0.462114864	97.3
CLOUD188	CLOUD179	1.596485175	98.65510327	96.45904949	0.986765743	98.9
CLOUD088	CLOUD129	0	100	100	1	95.7
CLOUD088	CLOUD120	0	35.48998063	0	0.354899806	98
CLOUD115	CLOUD120	99.78243983	35.48998063	100	0.998596519	93.1
CLOUD113	CLOUD184	0.202713617	0	93.05201548	0.002027136	73.1
CLOUD113	CLOUD180	0.202713617	94.77996018	100	0.947905419	91.9
CLOUD083	CLOUD264	26.61512503	36.36300704	33.67178391	0.533000723	99
CLOUD180	CLOUD188	94.77996018	1.596485175	100	0.948632973	98.9
CLOUD143	CLOUD112	89.25430294	96.94297546	98.82447542	0.996715014	3
CLOUD025	CLOUD234	2.150875492	26.35059193	0	0.27934699	98.5
CLOUD115	CLOUD049	99.78243983	0.017271008	100	0.997824774	92.5
CLOUD059	CLOUD057	1.662962311	100	100	1	4.9
CLOUD173	CLOUD059	26.96680805	1.662962311	53.94774966	0.281813225	97.3
CLOUD117	CLOUD190	99.94879672	17.11103228	99.75130214	0.999575581	2.9
CLOUD117	CLOUD196	99.94879672	71.74865513	100	0.999855344	59.2
CLOUD184	CLOUD259	0	96.22080761	100	0.962208076	85.1
CLOUD184	CLOUD256	0	0	0	0	89.1
CLOUD083	CLOUD180	26.61512503	94.77996018	96.75829101	0.961692803	99
CLOUD199	CLOUD115	100	99.78243983	97.36538632	1	93.6
CLOUD199	CLOUD117	100	99.94879672	98.23865181	1	17.3
CLOUD104	CLOUD171	98.44403556	0.32239215	100	0.984490519	8
CLOUD104	CLOUD173	98.44403556	26.96680805	100	0.988636295	4.4
CLOUD104	CLOUD179	98.44403556	98.65510327	100	0.999790739	1.8
CLOUD128	CLOUD059	10.62896364	1.662962311	10.94782119	0.121151703	93.5
CLOUD049	CLOUD166	0.017271008	39.13122131	77.32974935	0.39141734	98.1
CLOUD049	CLOUD165	0.017271008	100	100	1	46.8
CLOUD203	CLOUD229	24.35133625	0.294050343	90.14043543	0.245737814	98.6
CLOUD193	CLOUD049	96.73717693	0.017271008	98.69504408	0.967377405	94.7
CLOUD024	CLOUD059	98.72289447	1.662962311	94.64736353	0.987441323	1
CLOUD171	CLOUD173	0.32239215	26.96680805	57.99570812	0.272022613	97.3
CLOUD171	CLOUD179	0.32239215	98.65510327	100	0.986594391	97.7
CLOUD209	CLOUD059	99.87921859	1.662962311	100	0.998812271	2.4
CLOUD179	CLOUD166	98.65510327	39.13122131	96.43347841	0.991813778	98.1
CLOUD173	CLOUD243	26.96680805	84.97484141	100	0.890266471	97.3
CLOUD049	CLOUD203	0.017271008	24.35133625	87.34541678	0.243644015	98.4
CLOUD188	CLOUD243	1.596485175	84.97484141	100	0.852147158	98.3
CLOUD234	CLOUD215	26.35059193	17.3356167	0	0.39118171	98.3
CLOUD180	CLOUD179	94.77996018	98.65510327	94.7047686	0.999297959	98.9
CLOUD209	CLOUD213	99.87921859	45.94459407	100	0.999347111	2.4
CLOUD243	CLOUD128	84.97484141	10.62896364	100	0.865718601	92
CLOUD129	CLOUD259	100	96.22080761	100	1	94.6
CLOUD264	CLOUD193	36.36300704	96.73717693	100	0.979236375	96.3
CLOUD112	CLOUD234	96.94297546	26.35059193	100	0.977485195	98.5
CLOUD190	CLOUD143	17.11103228	89.25430294	90.13651984	0.910930026	4.7
CLOUD115	CLOUD025	99.78243983	2.150875492	95.19938512	0.997871193	95.4
CLOUD120	CLOUD103	35.48998063	85.39038766	100	0.905753363	86.5
