name	drugA	drugB	concA	concB	loewe
156	172	177	0.1007	0.0162	0.74032637454615
156	172	177	0.1007	0.6658	0.131361588305681
156	172	177	0.1007	4	0.0426730526621061
156	172	177	0.551	0	0
156	172	177	0.551	0.0162	0.23422430998676
156	172	177	0.551	0.6658	-0.0067188819436808
156	172	177	0.551	4	0.0511783883942948
156	172	177	8.616	0	0
156	172	177	8.616	0.0162	0.231128089044525
156	172	177	8.616	0.6658	0.0146153503289021
156	172	177	8.616	4	0.0849491904135463
156	172	68	0	0	0
156	172	68	0	0.1602	0
156	172	68	0	1.521	0
156	172	68	0	5	0
156	172	68	0.1007	0	0
156	172	68	0.1007	0.1602	0.58410623488432
156	172	68	0.1007	1.521	0.306271658547657
156	172	68	0.1007	5	0.280254472765683
156	172	68	0.551	0	0
156	172	68	0.551	0.1602	0.604613170591687
156	172	68	0.551	1.521	0.207063697686259
156	172	68	0.551	5	0.356885201078658
156	172	68	8.616	0	0
156	172	68	8.616	0.1602	0.580686316100056
156	172	68	8.616	1.521	0.382902062847662
156	172	68	8.616	5	0.490511418754932
156	172	87	0	0	NA
156	172	87	0	0.009	NA
156	172	87	0	0.0332	NA
156	172	87	0	0.0567	NA
156	172	87	0.1007	0	NA
156	172	87	0.1007	0.009	NA
156	172	87	0.1007	0.0332	NA
156	172	87	0.1007	0.0567	NA
156	172	87	0.551	0	NA
156	172	87	0.551	0.009	NA
156	172	87	0.551	0.0332	NA
156	172	87	0.551	0.0567	NA
156	172	87	8.616	0	NA
156	172	87	8.616	0.009	NA
156	172	87	8.616	0.0332	NA
156	172	87	8.616	0.0567	NA
156	172	181	0	0	NA
156	172	181	0	0.22	NA
156	172	181	0	0.67	NA
156	172	181	0	2	NA
156	172	181	0.1007	0	NA
156	172	181	0.1007	0.22	NA
156	172	181	0.1007	0.67	NA
156	172	181	0.1007	2	NA
156	172	181	0.551	0	NA
156	172	181	0.551	0.22	NA
156	172	181	0.551	0.67	NA
156	172	181	0.551	2	NA
156	172	181	8.616	0	NA
156	172	181	8.616	0.22	NA
156	172	181	8.616	0.67	NA
156	172	181	8.616	2	NA
156	172	183	0	0	0
156	172	183	0	0.001	0
156	172	183	0	0.004	0
156	172	183	0	0.01	0
156	172	183	0.1007	0	0
156	172	183	0.1007	0.001	0.34950728177535
156	172	183	0.1007	0.004	0.623776618180805
156	172	183	0.1007	0.01	0.531137969962523
156	172	183	0.551	0	0
156	172	183	0.551	0.001	0.25599722586958
156	172	183	0.551	0.004	0.274666207831595
156	172	183	0.551	0.01	0.51855728060245
156	172	183	8.616	0	0
156	172	183	8.616	0.001	0.177199913605166
156	172	183	8.616	0.004	0.116799646192457
156	172	183	8.616	0.01	0.512399128268808
156	172	174	0	0	0
156	172	174	0	0.13	0
156	172	174	0	0.5	0
156	172	174	0	1.13	0
156	172	174	0.1007	0	0
156	172	174	0.1007	0.13	0.173971085154951
156	172	174	0.1007	0.5	0.163508349233818
156	172	174	0.1007	1.13	-0.0447159234628078
156	172	174	0.551	0	0
156	172	174	0.551	0.13	0.113439003603394
156	172	174	0.551	0.5	0.128339350999944
156	172	174	0.551	1.13	-0.188320777350081
156	172	174	8.616	0	0
156	172	174	8.616	0.13	0.02081277075443
156	172	174	8.616	0.5	0.224578903735179
156	172	174	8.616	1.13	-0.0150331998799594
156	172	180	0	0	0
156	172	180	0	1	0
156	172	180	0	2.5	0
156	172	180	0	5	0
156	172	180	0.1007	0	0
156	172	180	0.1007	1	0.150916298558263
156	172	180	0.1007	2.5	-0.116585204401382
156	172	180	0.1007	5	0.0139941611040328
156	172	180	0.551	0	0
156	172	180	0.551	1	0.388286532116843
156	172	180	0.551	2.5	-0.280592554765572
156	172	180	0.551	5	0.0246489373817207
156	172	180	8.616	0	0
156	172	180	8.616	1	-0.642737213013658
156	172	180	8.616	2.5	-0.201004600523651
156	172	180	8.616	5	0.0247450786905888
156	172	178	0	0	NA
156	172	178	0	0.3089	NA
156	172	178	0	1.6151	NA
156	172	178	0	7.4095	NA
156	172	178	0.1007	0	NA
156	172	178	0.1007	0.3089	NA
156	172	178	0.1007	1.6151	NA
156	172	178	0.1007	7.4095	NA
156	172	178	0.551	0	NA
156	172	178	0.551	0.3089	NA
156	172	178	0.551	1.6151	NA
156	172	178	0.551	7.4095	NA
156	172	178	8.616	0	NA
156	172	178	8.616	0.3089	NA
156	172	178	8.616	1.6151	NA
156	172	178	8.616	7.4095	NA
156	172	182	0	0	NA
156	172	182	0	0.25	NA
156	172	182	0	1	NA
156	172	182	0	4	NA
156	172	182	0.1007	0	NA
156	172	182	0.1007	0.25	NA
156	172	182	0.1007	1	NA
156	172	182	0.1007	4	NA
156	172	182	0.551	0	NA
156	172	182	0.551	0.25	NA
156	172	182	0.551	1	NA
156	172	182	0.551	4	NA
156	172	182	8.616	0	NA
156	172	182	8.616	0.25	NA
156	172	182	8.616	1	NA
156	172	182	8.616	4	NA
156	172	77	0	0	0
156	172	77	0	0.0184	0
156	172	77	0	0.0504	0
156	172	77	0	1	0
156	172	77	0.1007	0	0
156	172	77	0.1007	0.0184	-0.352321397398531
156	172	77	0.1007	0.0504	-0.131103912572388
156	172	77	0.1007	1	0.0829416946876265
156	172	77	0.551	0	0
156	172	77	0.551	0.0184	-0.668051173263675
156	172	77	0.551	0.0504	-0.50335003469159
156	172	77	0.551	1	0.102046891830148
156	172	77	8.616	0	0
156	172	77	8.616	0.0184	-0.405164529184714
156	172	77	8.616	0.0504	-0.270892744298001
156	172	77	8.616	1	-0.0434070181330972
156	172	76	0	0	NA
156	172	76	0	0.001	NA
156	172	76	0	0.0059	NA
156	172	76	0	0.0119	NA
156	172	76	0.1007	0	NA
156	172	76	0.1007	0.001	NA
156	172	76	0.1007	0.0059	NA
156	172	76	0.1007	0.0119	NA
156	172	76	0.551	0	NA
156	172	76	0.551	0.001	NA
156	172	76	0.551	0.0059	NA
156	172	76	0.551	0.0119	NA
156	172	76	8.616	0	NA
156	172	76	8.616	0.001	NA
156	172	76	8.616	0.0059	NA
156	172	76	8.616	0.0119	NA
156	172	179	0	0	NA
156	172	179	0	0.9533	NA
156	172	179	0	2.143	NA
156	172	179	0	4.3128	NA
156	172	179	0.1007	0	NA
156	172	179	0.1007	0.9533	NA
156	172	179	0.1007	2.143	NA
