name	drugA	drugB	concA	concB	zip
200	164	2015	7.5e-09	1.4e-05	-0.493146760621066
200	164	2015	1e-08	0	-0.490591951135739
200	164	2015	1e-08	1e-07	-0.395072683512453
200	164	2015	1e-08	2.5e-07	-0.149089583713359
200	164	2015	1e-08	5e-07	-0.0442085362412372
200	164	2015	1e-08	1e-06	0
200	164	2015	1e-08	2e-06	-0.497741965795859
200	164	2015	1e-08	4e-06	-0.495138873233523
200	164	2015	1e-08	6e-06	-0.397814396971003
200	164	2015	1e-08	1e-05	-0.147182488319916
200	164	2015	1e-08	1.4e-05	-0.0403193049112492
201	164	2015	0	0	0
201	164	2015	0	1e-07	0
201	164	2015	0	2.5e-07	0
201	164	2015	0	5e-07	0
201	164	2015	0	1e-06	0
201	164	2015	0	2e-06	0
201	164	2015	0	4e-06	0
201	164	2015	0	6e-06	-0.000424489191890984
201	164	2015	0	1e-05	-0.00736715378202618
201	164	2015	0	1.4e-05	-0.0610206954476646
201	164	2015	1e-09	0	-0.167690441126029
201	164	2015	1e-09	1e-07	-0.277368887544206
201	164	2015	1e-09	2.5e-07	0
201	164	2015	1e-09	5e-07	-0.000416194925883531
201	164	2015	1e-09	1e-06	-0.00724063081977761
201	164	2015	1e-09	2e-06	-0.0615369243823258
201	164	2015	1e-09	4e-06	-0.169390080386031
201	164	2015	1e-09	6e-06	-0.276663030514484
201	164	2015	1e-09	1e-05	0
201	164	2015	1e-09	1.4e-05	-0.020804037396435
201	164	2015	2.5e-09	0	-0.0271419858137847
201	164	2015	2.5e-09	1e-07	-0.075458122832321
201	164	2015	2.5e-09	2.5e-07	-0.173158868167656
201	164	2015	2.5e-09	5e-07	-0.275655026496099
201	164	2015	2.5e-09	1e-06	0
201	164	2015	2.5e-09	2e-06	-0.0371603813496029
201	164	2015	2.5e-09	4e-06	-0.0430460283254523
201	164	2015	2.5e-09	6e-06	-0.0879141318507875
201	164	2015	2.5e-09	1e-05	-0.17864255979871
201	164	2015	2.5e-09	1.4e-05	-0.273824180818317
201	164	2015	5e-09	0	0
201	164	2015	5e-09	1e-07	-0.0648596676589447
201	164	2015	5e-09	2.5e-07	-0.0699793471813025
201	164	2015	5e-09	5e-07	-0.109008244389759
201	164	2015	5e-09	1e-06	-0.187929130499083
201	164	2015	5e-09	2e-06	-0.270723664054772
201	164	2015	5e-09	4e-06	0
201	164	2015	5e-09	6e-06	-0.108546729348437
201	164	2015	5e-09	1e-05	-0.112458331990433
201	164	2015	5e-09	1.4e-05	-0.142277686262142
201	164	2015	7.5e-09	0	-0.202575825094033
201	164	2015	7.5e-09	1e-07	-0.26583355729875
201	164	2015	7.5e-09	2.5e-07	0
201	164	2015	7.5e-09	5e-07	-0.142577336121981
201	164	2015	7.5e-09	1e-06	-0.145547891513878
201	164	2015	7.5e-09	2e-06	-0.168193352140094
201	164	2015	7.5e-09	4e-06	-0.213985058972832
201	164	2015	7.5e-09	6e-06	-0.262024344830362
201	164	2015	7.5e-09	1e-05	0
201	164	2015	7.5e-09	1.4e-05	-0.193423664965541
201	164	2015	1e-08	0	-0.19498816849788
201	164	2015	1e-08	1e-07	-0.20691486181516
201	164	2015	1e-08	2.5e-07	-0.231031997380803
201	164	2015	1e-08	5e-07	-0.256332866241941
201	164	2015	1e-08	1e-06	0
201	164	2015	1e-08	2e-06	-0.230227415341726
201	164	2015	1e-08	4e-06	-0.23077418597511
201	164	2015	1e-08	6e-06	-0.234942387276335
201	164	2015	1e-08	1e-05	-0.243370966193586
201	164	2015	1e-08	1.4e-05	-0.252213242229671
202	164	2015	0	0	0
202	164	2015	0	1e-07	0
202	164	2015	0	2.5e-07	0
202	164	2015	0	5e-07	0
202	164	2015	0	1e-06	0
202	164	2015	0	2e-06	0
202	164	2015	0	4e-06	0
202	164	2015	0	6e-06	-4.2813392799701e-06
202	164	2015	0	1e-05	-3.37785869349716e-05
202	164	2015	0	1.4e-05	-0.000991923089513733
202	164	2015	1e-09	0	-0.0103538538823605
202	164	2015	1e-09	1e-07	-0.0148093678205215
202	164	2015	1e-09	2.5e-07	0
202	164	2015	1e-09	5e-07	-0.0084063239710224
202	164	2015	1e-09	1e-06	-0.013983246446887
202	164	2015	1e-09	2e-06	-0.0217773379537851
202	164	2015	1e-09	4e-06	-0.0249370697907482
202	164	2015	1e-09	6e-06	-0.0257876282192662
202	164	2015	1e-09	1e-05	0
202	164	2015	1e-09	1.4e-05	-0.000450598302409873
202	164	2015	2.5e-09	0	-0.00221261173915835
202	164	2015	2.5e-09	1e-07	-0.0187307053659991
202	164	2015	2.5e-09	2.5e-07	-0.0365027552028364
202	164	2015	2.5e-09	5e-07	-0.0389104817609906
202	164	2015	2.5e-09	1e-06	0
202	164	2015	2.5e-09	2e-06	-0.0174083624536753
202	164	2015	2.5e-09	4e-06	-0.0409810543983404
202	164	2015	2.5e-09	6e-06	-0.0565602164703169
202	164	2015	2.5e-09	1e-05	-0.0577891815520228
202	164	2015	2.5e-09	1.4e-05	-0.0578595106860188
202	164	2015	5e-09	0	0
202	164	2015	5e-09	1e-07	-0.0840096313615085
202	164	2015	5e-09	2.5e-07	-0.0840096313615085
202	164	2015	5e-09	5e-07	-0.0840096313615085
202	164	2015	5e-09	1e-06	-0.0840096313615085
202	164	2015	5e-09	2e-06	-0.0840096313615085
202	164	2015	5e-09	4e-06	0
202	164	2015	5e-09	6e-06	-0.118795447445598
202	164	2015	5e-09	1e-05	-0.118795447445598
202	164	2015	5e-09	1.4e-05	-0.118795447445598
202	164	2015	7.5e-09	0	-0.118795447445598
202	164	2015	7.5e-09	1e-07	-0.118795447445598
202	164	2015	7.5e-09	2.5e-07	0
202	164	2015	7.5e-09	5e-07	-0.143277211191633
202	164	2015	7.5e-09	1e-06	-0.143277211191633
202	164	2015	7.5e-09	2e-06	-0.143277211191633
202	164	2015	7.5e-09	4e-06	-0.143277211191633
202	164	2015	7.5e-09	6e-06	-0.143277211191633
202	164	2015	7.5e-09	1e-05	0
202	164	2015	7.5e-09	1.4e-05	-0.178032583928762
202	164	2015	1e-08	0	-0.178032583928762
202	164	2015	1e-08	1e-07	-0.178032583928762
202	164	2015	1e-08	2.5e-07	-0.178032583928762
202	164	2015	1e-08	5e-07	-0.178032583928762
202	164	2015	1e-08	1e-06	0
202	164	2015	1e-08	2e-06	-0.202833546923945
202	164	2015	1e-08	4e-06	-0.202833546923945
202	164	2015	1e-08	6e-06	-0.202833546923945
202	164	2015	1e-08	1e-05	-0.202833546923945
202	164	2015	1e-08	1.4e-05	-0.202833546923945
203	164	2015	0	0	0
203	164	2015	0	1e-07	0
203	164	2015	0	2.5e-07	0
203	164	2015	0	5e-07	0
203	164	2015	0	1e-06	0
203	164	2015	0	2e-06	0
203	164	2015	0	4e-06	0
203	164	2015	0	6e-06	-0.00420913378386118
203	164	2015	0	1e-05	-0.00420913426599142
203	164	2015	0	1.4e-05	-0.00420948518005218
203	164	2015	1e-09	0	-0.00422574091897133
203	164	2015	1e-09	1e-07	-0.00446509158060991
203	164	2015	1e-09	2.5e-07	0
203	164	2015	1e-09	5e-07	-0.0118730375486209
203	164	2015	1e-09	1e-06	-0.0118730380157172
203	164	2015	1e-09	2e-06	-0.0118733779880709
203	164	2015	1e-09	4e-06	-0.01188912686349
203	164	2015	1e-09	6e-06	-0.0121210144307305
203	164	2015	1e-09	1e-05	0
203	164	2015	1e-09	1.4e-05	-0.0255856254208298
203	164	2015	2.5e-09	0	-0.0255856258610265
203	164	2015	2.5e-09	1e-07	-0.0255859462560058
203	164	2015	2.5e-09	2.5e-07	-0.0256007882293429
203	164	2015	2.5e-09	5e-07	-0.0258193225055088
203	164	2015	2.5e-09	1e-06	0
203	164	2015	2.5e-09	2e-06	-0.0534027252337621
203	164	2015	2.5e-09	4e-06	-0.0534027256193923
203	164	2015	2.5e-09	6e-06	-0.0534030063000743
203	164	2015	2.5e-09	1e-05	-0.0534160085487746
203	164	2015	2.5e-09	1.4e-05	-0.0536074545879058
203	164	2015	5e-09	0	0
203	164	2015	5e-09	1e-07	-0.104783246876921
203	164	2015	5e-09	2.5e-07	-0.104783247161762
203	164	2015	5e-09	5e-07	-0.1047834544868
203	164	2015	5e-09	1e-06	-0.10479305860945
203	164	2015	5e-09	2e-06	-0.104934470397757
203	164	2015	5e-09	4e-06	0
203	164	2015	5e-09	6e-06	-0.185108563274703
203	164	2015	5e-09	1e-05	-0.185108563401984
203	164	2015	5e-09	1.4e-05	-0.185108656047077
203	164	2015	7.5e-09	0	-0.185112947737284
203	164	2015	7.5e-09	1e-07	-0.185176138890617
203	164	2015	7.5e-09	2.5e-07	0
203	164	2015	7.5e-09	5e-07	-0.241814659894754
203	164	2015	7.5e-09	1e-06	-0.24181465991081
203	164	2015	7.5e-09	2e-06	-0.241814671596968
203	164	2015	7.5e-09	4e-06	-0.241815212946424
203	164	2015	7.5e-09	6e-06	-0.241823183814504
203	164	2015	7.5e-09	1e-05	0
203	164	2015	7.5e-09	1.4e-05	-0.313726598504674
203	164	2015	1e-08	0	-0.313726598379681
203	164	2015	1e-08	1e-07	-0.313726507397621
203	164	2015	1e-08	2.5e-07	-0.313722292745696
203	164	2015	1e-08	5e-07	-0.313660235909529
203	164	2015	1e-08	1e-06	0
203	164	2015	1e-08	2e-06	-0.356277948690233
203	164	2015	1e-08	4e-06	-0.356277948481781
203	164	2015	1e-08	6e-06	-0.356277796749428
203	164	2015	1e-08	1e-05	-0.356270767901638
203	164	2015	1e-08	1.4e-05	-0.35616727464443
16	164	2015	0	0	0
16	164	2015	0	1e-07	0
16	164	2015	0	2.5e-07	0
16	164	2015	0	5e-07	0
16	164	2015	0	1e-06	0
16	164	2015	0	2e-06	0
16	164	2015	0	4e-06	0
16	164	2015	0	6e-06	-0.00108496100255337
16	164	2015	0	1e-05	-0.145642404274892
16	164	2015	0	1.4e-05	-0.477985699937431
16	164	2015	1e-09	0	-0.497746071289429
16	164	2015	1e-09	1e-07	-0.499561773126386
16	164	2015	1e-09	2.5e-07	0
16	164	2015	1e-09	5e-07	-0.00113675065970256
16	164	2015	1e-09	1e-06	-0.145664117081499
16	164	2015	1e-09	2e-06	-0.477938264871707
16	164	2015	1e-09	4e-06	-0.497694524849552
16	164	2015	1e-09	6e-06	-0.499509848908709
16	164	2015	1e-09	1e-05	0
16	164	2015	1e-09	1.4e-05	-0.00159790779943222
16	164	2015	2.5e-09	0	-0.145857457148646
16	164	2015	2.5e-09	1e-07	-0.477515882866562
